id,input_text,label,bucket
114,"[SUBJECT] Lana Del Rey [CANDIDATE] Billie Holiday [CONTEXT] Del Rey cites a wide array of musical artists as influences, including Andrew Lloyd Webber, Frank Sinatra, Nina Simone, Billie Holiday, Bobby Vinton, The Crystals, Brian Wilson, Nancy Sinatra, and Miles Davis.",1,positive
153,"[SUBJECT] Travis Scott [CANDIDATE] Bon Iver [CONTEXT] He is also influenced by Bon Iver, Kid Cudi, M.I.A., Kanye West, Toro y Moi, Tame Impala, T.I., and Thom Yorke.",1,positive
163,"[SUBJECT] Playboi Carti [CANDIDATE] Lil Wayne [CONTEXT] Almost all of Carter's raps are freestyled, which was directly inspired by Lil Wayne.",1,positive
66,"[SUBJECT] R.E.M. [CANDIDATE] T. Rex [CONTEXT] Musically, Stipe stated that bands like T. Rex and Mott the Hoople ""really impacted me"".",1,positive
112,"[SUBJECT] Lana Del Rey [CANDIDATE] Frank Sinatra [CONTEXT] Del Rey cites a wide array of musical artists as influences, including Andrew Lloyd Webber, Frank Sinatra, Nina Simone, Billie Holiday, Bobby Vinton, The Crystals, Brian Wilson, Nancy Sinatra, and Miles Davis.",1,positive
186,"[SUBJECT] Daft Punk [CANDIDATE] Andy Warhol [CONTEXT] In 2009, Bangalter named Andy Warhol as one of Daft Punk's early influences.",1,positive
178,"[SUBJECT] Herbie Hancock [CANDIDATE] Bill Evans [CONTEXT] Clare Fischer was a major influence on my harmonic concept... he and Bill Evans, and Ravel and Gil Evans, finally.",1,positive
32,[SUBJECT] Kendrick Lamar [CANDIDATE] Miles Davis [CONTEXT] To Pimp a Butterfly was influenced by the works of jazz trumpeter Miles Davis and funk collective Parliament-Funkadelic.,1,positive
13,"[SUBJECT] Bob Dylan [CANDIDATE] Jacques Levy [CONTEXT] Many of Desire's songs featuring a travelogue-like narrative style, influenced by Dylan's new collaborator, playwright Jacques Levy.",1,positive
36,[SUBJECT] Björk [CANDIDATE] Steve Reich [CONTEXT] She has cited Steve Reich as one of the people who influenced her the most.,1,positive
29,[SUBJECT] Neil Young [CANDIDATE] Bob Dylan [CONTEXT] Mitchell recalls Young as having been highly influenced by Bob Dylan at the time.,1,positive
43,"[SUBJECT] The Velvet Underground [CANDIDATE] Booker T. & the M.G.s [CONTEXT] The other members were fans of doo-wop, Bo Diddley, and Booker T. & the M.G.s.",1,positive
85,[SUBJECT] Led Zeppelin [CANDIDATE] Howlin' Wolf [CONTEXT] The influence of American blues artists such as Muddy Waters and Skip James was particularly apparent on their first two albums.,1,positive
156,"[SUBJECT] Travis Scott [CANDIDATE] Kanye West [CONTEXT] He is also influenced by Bon Iver, Kid Cudi, M.I.A., Kanye West, Toro y Moi, Tame Impala, T.I., and Thom Yorke.",1,positive
201,"[SUBJECT] Charli XCX [CANDIDATE] Uffie [CONTEXT] Charli XCX's influences include Britney Spears, Shampoo, No Doubt, t.A.T.u., the Donnas, Bikini Kill, Martika, Björk, Siouxsie and the Banshees, the Feminine Complex, Donna Summer, Bread, All Saints, Uffie, Brooke Candy, Lil Wayne, Lily Allen, Kate Bush, Twin Peaks, Paris Hilton, Justice, Crystal Castles, Calvin Harris, Daft Punk, Sebastian, Honey Dijon, Robyn, Arca, M.I.A., Autechre, Aphex Twin, and Quentin Tarantino.",1,positive
52,"[SUBJECT] Sonic Youth [CANDIDATE] Stooges [CONTEXT] Sonic Youth was heavily influenced by the Velvet Underground, the Stooges, MC5, Glenn Branca, Rhys Chatham, Ornette Coleman, John Coltrane, La Monte Young, Neil Young, Yoko Ono, Brigitte Fontaine, Patti Smith, Wire, and Public Image Ltd.",1,positive
137,[SUBJECT] Grimes [CANDIDATE] Billy Joel [CONTEXT] Art Angels was influenced by Billy Joel.,1,positive
177,[SUBJECT] Herbie Hancock [CANDIDATE] The Hi-Lo's [CONTEXT] Hancock was also influenced by records of the vocal group the Hi-Lo's.,1,positive
77,"[SUBJECT] Joy Division [CANDIDATE] David Bowie [CONTEXT] Curtis was inspired by artists such as the Doors, Iggy Pop, David Bowie, Kraftwerk, the Velvet Underground and Neu!.",1,positive
42,[SUBJECT] The Velvet Underground [CANDIDATE] La Monte Young [CONTEXT] Cale brought classically-trained ideas and the influence of avant-garde composers John Cage and La Monte Young.,1,positive
176,"[SUBJECT] John Coltrane [CANDIDATE] Johnny Hodges [CONTEXT] While in high school, Coltrane played clarinet and alto horn in a community band before switching to the saxophone, after being influenced by the likes of Lester Young and Johnny Hodges.",1,positive
79,"[SUBJECT] Joy Division [CANDIDATE] the Doors [CONTEXT] Curtis was inspired by artists such as the Doors, Iggy Pop, David Bowie, Kraftwerk, the Velvet Underground and Neu!.",1,positive
164,"[SUBJECT] Playboi Carti [CANDIDATE] Wiz Khalifa [CONTEXT] He recorded songs influenced by Wiz Khalifa, Currensy, and Odd Future.",1,positive
27,"[SUBJECT] Brian Eno [CANDIDATE] Terry Riley [CONTEXT] Whilst inspired by the ideas of minimalist composers including John Cage, Terry Riley, Steve Reich.",1,positive
148,"[SUBJECT] Grimes [CANDIDATE] Salem [CONTEXT] Some of her other influences include Jedi Mind Tricks, Kenji Kawai, Yoko Kanno, Alicia Keys, Christina Aguilera, Panda Bear, Bikini Kill, Kate Bush, Al Green, Salem, Trent Reznor, Tool.",1,positive
116,"[SUBJECT] Lana Del Rey [CANDIDATE] The Crystals [CONTEXT] Del Rey cites a wide array of musical artists as influences, including Andrew Lloyd Webber, Frank Sinatra, Nina Simone, Billie Holiday, Bobby Vinton, The Crystals, Brian Wilson, Nancy Sinatra, and Miles Davis.",1,positive
128,"[SUBJECT] Phoebe Bridgers [CANDIDATE] Tom Waits [CONTEXT] Other musical influences include Bright Eyes, the Replacements, Blake Mills, Tom Waits, Avril Lavigne, the Beatles, Jackson Browne, Taylor Swift and Nine Inch Nails.",1,positive
3,"[SUBJECT] Radiohead [CANDIDATE] Ennio Morricone [CONTEXT] Other influences include the soundtracks of Ennio Morricone, 1960s rock groups such as the Beatles and the Beach Boys, and Phil Spector's ""wall of sound"" production.",1,positive
78,"[SUBJECT] Joy Division [CANDIDATE] Kraftwerk [CONTEXT] Curtis was inspired by artists such as the Doors, Iggy Pop, David Bowie, Kraftwerk, the Velvet Underground and Neu!.",1,positive
47,[SUBJECT] Kendrick Lamar [CANDIDATE] Snoop Dogg [CONTEXT] He also listened and took influence from Mos Def and Snoop Dogg during his childhood.,1,positive
133,"[SUBJECT] Phoebe Bridgers [CANDIDATE] Nine Inch Nails [CONTEXT] Other musical influences include Bright Eyes, the Replacements, Blake Mills, Tom Waits, Avril Lavigne, the Beatles, Jackson Browne, Taylor Swift and Nine Inch Nails.",1,positive
118,"[SUBJECT] Lana Del Rey [CANDIDATE] Nancy Sinatra [CONTEXT] Del Rey cites a wide array of musical artists as influences, including Andrew Lloyd Webber, Frank Sinatra, Nina Simone, Billie Holiday, Bobby Vinton, The Crystals, Brian Wilson, Nancy Sinatra, and Miles Davis.",1,positive
91,"[SUBJECT] Black Sabbath [CANDIDATE] John Mayall & the Bluesbreakers [CONTEXT] Early on, Black Sabbath were influenced by Cream, the Beatles, Fleetwood Mac, Jimi Hendrix, John Mayall & the Bluesbreakers, Blue Cheer, Golden Earring, Led Zeppelin, Jethro Tull, and Iron Butterfly.",1,positive
86,[SUBJECT] Led Zeppelin [CANDIDATE] J. R. R. Tolkien [CONTEXT] Plant's songwriting was inspired by J. R. R. Tolkien's high fantasy novel The Lord of the Rings.,1,positive
147,"[SUBJECT] Grimes [CANDIDATE] Al Green [CONTEXT] Some of her other influences include Jedi Mind Tricks, Kenji Kawai, Yoko Kanno, Alicia Keys, Christina Aguilera, Panda Bear, Bikini Kill, Kate Bush, Al Green, Salem, Trent Reznor, Tool.",1,positive
99,"[SUBJECT] Tyler, the Creator [CANDIDATE] Eminem [CONTEXT] The horrorcore-based aesthetics and transgressive lyrical content of his debut and second albums Bastard and Goblin were influenced by Eminem.",1,positive
37,[SUBJECT] Björk [CANDIDATE] Brian Eno [CONTEXT] She has cited Brian Eno as one of the people who influenced her the most.,1,positive
125,"[SUBJECT] Phoebe Bridgers [CANDIDATE] Bright Eyes [CONTEXT] Other musical influences include Bright Eyes, the Replacements, Blake Mills, Tom Waits, Avril Lavigne, the Beatles, Jackson Browne, Taylor Swift and Nine Inch Nails.",1,positive
62,"[SUBJECT] Sonic Youth [CANDIDATE] Patti Smith [CONTEXT] Sonic Youth was heavily influenced by the Velvet Underground, the Stooges, MC5, Glenn Branca, Rhys Chatham, Ornette Coleman, John Coltrane, La Monte Young, Neil Young, Yoko Ono, Brigitte Fontaine, Patti Smith, Wire, and Public Image Ltd.",1,positive
23,"[SUBJECT] The Beatles [CANDIDATE] Everly Brothers [CONTEXT] Other early influences include Buddy Holly, Eddie Cochran, Roy Orbison, the Everly Brothers and Jerry Lee Lewis.",1,positive
144,"[SUBJECT] Grimes [CANDIDATE] Panda Bear [CONTEXT] Some of her other influences include Jedi Mind Tricks, Kenji Kawai, Yoko Kanno, Alicia Keys, Christina Aguilera, Panda Bear, Bikini Kill, Kate Bush, Al Green, Salem, Trent Reznor, Tool.",1,positive
206,"[SUBJECT] Charli XCX [CANDIDATE] Crystal Castles [CONTEXT] Charli XCX's influences include Britney Spears, Shampoo, No Doubt, t.A.T.u., the Donnas, Bikini Kill, Martika, Björk, Siouxsie and the Banshees, the Feminine Complex, Donna Summer, Bread, All Saints, Uffie, Brooke Candy, Lil Wayne, Lily Allen, Kate Bush, Twin Peaks, Paris Hilton, Justice, Crystal Castles, Calvin Harris, Daft Punk, Sebastian, Honey Dijon, Robyn, Arca, M.I.A., Autechre, Aphex Twin, and Quentin Tarantino.",1,positive
34,[SUBJECT] Björk [CANDIDATE] Stockhausen [CONTEXT] She has cited Stockhausen as one of the people who influenced her the most.,1,positive
12,"[SUBJECT] David Bowie [CANDIDATE] Elvis Presley [CONTEXT] His early compositions and performances were strongly influenced by rock and roll singers like Little Richard and Elvis Presley, and also the wider world of show business.",1,positive
214,"[SUBJECT] Charli XCX [CANDIDATE] Quentin Tarantino [CONTEXT] Charli XCX's influences include Britney Spears, Shampoo, No Doubt, t.A.T.u., the Donnas, Bikini Kill, Martika, Björk, Siouxsie and the Banshees, the Feminine Complex, Donna Summer, Bread, All Saints, Uffie, Brooke Candy, Lil Wayne, Lily Allen, Kate Bush, Twin Peaks, Paris Hilton, Justice, Crystal Castles, Calvin Harris, Daft Punk, Sebastian, Honey Dijon, Robyn, Arca, M.I.A., Autechre, Aphex Twin, and Quentin Tarantino.",1,positive
174,"[SUBJECT] Billie Eilish [CANDIDATE] Lana Del Rey [CONTEXT] Eilish grew up listening to the Beatles, Justin Bieber, Green Day, the 1975, Arctic Monkeys, Nine Inch Nails, Linkin Park and Lana Del Rey.",1,positive
7,"[SUBJECT] Radiohead [CANDIDATE] Autechre [CONTEXT] The electronic music of Kid A was inspired by Yorke's admiration for artists signed to the record label Warp Records, such as Aphex Twin and Autechre.",1,positive
28,"[SUBJECT] Brian Eno [CANDIDATE] Steve Reich [CONTEXT] Whilst inspired by the ideas of minimalist composers including John Cage, Terry Riley, Steve Reich.",1,positive
136,[SUBJECT] Grimes [CANDIDATE] Queen [CONTEXT] Grimes described a song as inspired by David Bowie and Queen.,1,positive
211,"[SUBJECT] Charli XCX [CANDIDATE] Robyn [CONTEXT] Charli XCX's influences include Britney Spears, Shampoo, No Doubt, t.A.T.u., the Donnas, Bikini Kill, Martika, Björk, Siouxsie and the Banshees, the Feminine Complex, Donna Summer, Bread, All Saints, Uffie, Brooke Candy, Lil Wayne, Lily Allen, Kate Bush, Twin Peaks, Paris Hilton, Justice, Crystal Castles, Calvin Harris, Daft Punk, Sebastian, Honey Dijon, Robyn, Arca, M.I.A., Autechre, Aphex Twin, and Quentin Tarantino.",1,positive
151,"[SUBJECT] Childish Gambino [CANDIDATE] Ghostface Killah [CONTEXT] Glover stated ""I'm influenced by LCD Soundsystem as much as Ghostface Killah.""",1,positive
5,"[SUBJECT] Radiohead [CANDIDATE] Phil Spector [CONTEXT] Other influences include the soundtracks of Ennio Morricone, 1960s rock groups such as the Beatles and the Beach Boys, and Phil Spector's ""wall of sound"" production.",1,positive
33,[SUBJECT] Kendrick Lamar [CANDIDATE] Parliament-Funkadelic [CONTEXT] To Pimp a Butterfly was influenced by the works of jazz trumpeter Miles Davis and funk collective Parliament-Funkadelic.,1,positive
119,"[SUBJECT] Lana Del Rey [CANDIDATE] Miles Davis [CONTEXT] Del Rey cites a wide array of musical artists as influences, including Andrew Lloyd Webber, Frank Sinatra, Nina Simone, Billie Holiday, Bobby Vinton, The Crystals, Brian Wilson, Nancy Sinatra, and Miles Davis.",1,positive
159,"[SUBJECT] Travis Scott [CANDIDATE] T.I. [CONTEXT] He is also influenced by Bon Iver, Kid Cudi, M.I.A., Kanye West, Toro y Moi, Tame Impala, T.I., and Thom Yorke.",1,positive
126,"[SUBJECT] Phoebe Bridgers [CANDIDATE] the Replacements [CONTEXT] Other musical influences include Bright Eyes, the Replacements, Blake Mills, Tom Waits, Avril Lavigne, the Beatles, Jackson Browne, Taylor Swift and Nine Inch Nails.",1,positive
197,"[SUBJECT] Charli XCX [CANDIDATE] Martika [CONTEXT] Charli XCX's influences include Britney Spears, Shampoo, No Doubt, t.A.T.u., the Donnas, Bikini Kill, Martika, Björk, Siouxsie and the Banshees, the Feminine Complex, Donna Summer, Bread, All Saints, Uffie, Brooke Candy, Lil Wayne, Lily Allen, Kate Bush, Twin Peaks, Paris Hilton, Justice, Crystal Castles, Calvin Harris, Daft Punk, Sebastian, Honey Dijon, Robyn, Arca, M.I.A., Autechre, Aphex Twin, and Quentin Tarantino.",1,positive
115,"[SUBJECT] Lana Del Rey [CANDIDATE] Bobby Vinton [CONTEXT] Del Rey cites a wide array of musical artists as influences, including Andrew Lloyd Webber, Frank Sinatra, Nina Simone, Billie Holiday, Bobby Vinton, The Crystals, Brian Wilson, Nancy Sinatra, and Miles Davis.",1,positive
11,"[SUBJECT] David Bowie [CANDIDATE] Little Richard [CONTEXT] His early compositions and performances were strongly influenced by rock and roll singers like Little Richard and Elvis Presley, and also the wider world of show business.",1,positive
63,"[SUBJECT] Sonic Youth [CANDIDATE] Wire [CONTEXT] Sonic Youth was heavily influenced by the Velvet Underground, the Stooges, MC5, Glenn Branca, Rhys Chatham, Ornette Coleman, John Coltrane, La Monte Young, Neil Young, Yoko Ono, Brigitte Fontaine, Patti Smith, Wire, and Public Image Ltd.",1,positive
129,"[SUBJECT] Phoebe Bridgers [CANDIDATE] Avril Lavigne [CONTEXT] Other musical influences include Bright Eyes, the Replacements, Blake Mills, Tom Waits, Avril Lavigne, the Beatles, Jackson Browne, Taylor Swift and Nine Inch Nails.",1,positive
160,"[SUBJECT] Travis Scott [CANDIDATE] Thom Yorke [CONTEXT] He is also influenced by Bon Iver, Kid Cudi, M.I.A., Kanye West, Toro y Moi, Tame Impala, T.I., and Thom Yorke.",1,positive
181,"[SUBJECT] Aphex Twin [CANDIDATE] Luke Vibert [CONTEXT] When James began programming faster, jungle-inspired breakbeats in the mid-1990s, he named friends and fellow musicians Luke Vibert and Tom Jenkinson as influences.",1,positive
1,[SUBJECT] Radiohead [CANDIDATE] John McGeoch [CONTEXT] Jonny Greenwood named the Magazine guitarist John McGeoch his biggest guitar influence.,1,positive
198,"[SUBJECT] Charli XCX [CANDIDATE] Björk [CONTEXT] Charli XCX's influences include Britney Spears, Shampoo, No Doubt, t.A.T.u., the Donnas, Bikini Kill, Martika, Björk, Siouxsie and the Banshees, the Feminine Complex, Donna Summer, Bread, All Saints, Uffie, Brooke Candy, Lil Wayne, Lily Allen, Kate Bush, Twin Peaks, Paris Hilton, Justice, Crystal Castles, Calvin Harris, Daft Punk, Sebastian, Honey Dijon, Robyn, Arca, M.I.A., Autechre, Aphex Twin, and Quentin Tarantino.",1,positive
173,"[SUBJECT] Billie Eilish [CANDIDATE] Linkin Park [CONTEXT] Eilish grew up listening to the Beatles, Justin Bieber, Green Day, the 1975, Arctic Monkeys, Nine Inch Nails, Linkin Park and Lana Del Rey.",1,positive
71,"[SUBJECT] The Smiths [CANDIDATE] the Cramps [CONTEXT] Morrissey's songwriting was influenced by punk rock and post-punk bands such as New York Dolls, the Cramps, the Specials and the Cult.",1,positive
185,"[SUBJECT] Kraftwerk [CANDIDATE] Bauhaus [CONTEXT] They were influenced by the modernist Bauhaus aesthetic, seeing art as inseparable from everyday function.",1,positive
65,"[SUBJECT] R.E.M. [CANDIDATE] Patti Smith [CONTEXT] The pair discovered that they shared similar tastes in music, particularly in punk rock and proto-punk artists like Patti Smith, Television, and the Velvet Underground.",1,positive
45,[SUBJECT] Brian Eno [CANDIDATE] Piet Mondrian [CONTEXT] He was also inspired by Dutch painter Piet Mondrian.,1,positive
143,"[SUBJECT] Grimes [CANDIDATE] Christina Aguilera [CONTEXT] Some of her other influences include Jedi Mind Tricks, Kenji Kawai, Yoko Kanno, Alicia Keys, Christina Aguilera, Panda Bear, Bikini Kill, Kate Bush, Al Green, Salem, Trent Reznor, Tool.",1,positive
41,[SUBJECT] The Velvet Underground [CANDIDATE] John Cage [CONTEXT] Cale brought classically-trained ideas and the influence of avant-garde composers John Cage and La Monte Young.,1,positive
124,[SUBJECT] The Weeknd [CANDIDATE] Jean-Michel Basquiat [CONTEXT] Tesfaye's hairstyle has been claimed to be partly inspired by artist Jean-Michel Basquiat.,1,positive
24,"[SUBJECT] The Beatles [CANDIDATE] Jerry Lee Lewis [CONTEXT] Other early influences include Buddy Holly, Eddie Cochran, Roy Orbison, the Everly Brothers and Jerry Lee Lewis.",1,positive
165,"[SUBJECT] Playboi Carti [CANDIDATE] Currensy [CONTEXT] He recorded songs influenced by Wiz Khalifa, Currensy, and Odd Future.",1,positive
191,"[SUBJECT] Charli XCX [CANDIDATE] Britney Spears [CONTEXT] Charli XCX's influences include Britney Spears, Shampoo, No Doubt, t.A.T.u., the Donnas, Bikini Kill, Martika, Björk, Siouxsie and the Banshees, the Feminine Complex, Donna Summer, Bread, All Saints, Uffie, Brooke Candy, Lil Wayne, Lily Allen, Kate Bush, Twin Peaks, Paris Hilton, Justice, Crystal Castles, Calvin Harris, Daft Punk, Sebastian, Honey Dijon, Robyn, Arca, M.I.A., Autechre, Aphex Twin, and Quentin Tarantino.",1,positive
82,"[SUBJECT] Joy Division [CANDIDATE] Neu! [CONTEXT] Curtis was inspired by artists such as the Doors, Iggy Pop, David Bowie, Kraftwerk, the Velvet Underground and Neu!.",1,positive
40,"[SUBJECT] The Velvet Underground [CANDIDATE] Bo Diddley [CONTEXT] The other members were fans of doo-wop, Bo Diddley, and Booker T. & the M.G.s.",1,positive
184,"[SUBJECT] Kraftwerk [CANDIDATE] Karlheinz Stockhausen [CONTEXT] In its early incarnation, the band pursued an avant-garde, experimental rock style inspired by the compositions of Karlheinz Stockhausen.",1,positive
48,"[SUBJECT] The Beatles [CANDIDATE] Little Richard [CONTEXT] The Beatles' earliest influences include Elvis Presley, Carl Perkins, Little Richard, Chuck Berry and Gene Vincent.",1,positive
95,"[SUBJECT] Black Sabbath [CANDIDATE] Jethro Tull [CONTEXT] Early on, Black Sabbath were influenced by Cream, the Beatles, Fleetwood Mac, Jimi Hendrix, John Mayall & the Bluesbreakers, Blue Cheer, Golden Earring, Led Zeppelin, Jethro Tull, and Iron Butterfly.",1,positive
168,"[SUBJECT] Billie Eilish [CANDIDATE] Justin Bieber [CONTEXT] Eilish grew up listening to the Beatles, Justin Bieber, Green Day, the 1975, Arctic Monkeys, Nine Inch Nails, Linkin Park and Lana Del Rey.",1,positive
44,"[SUBJECT] Bob Dylan [CANDIDATE] Jacques Levy [CONTEXT] Many of Desire's songs featuring a travelogue-like narrative style, influenced by Dylan's collaborator, playwright Jacques Levy.",1,positive
146,"[SUBJECT] Grimes [CANDIDATE] Kate Bush [CONTEXT] Some of her other influences include Jedi Mind Tricks, Kenji Kawai, Yoko Kanno, Alicia Keys, Christina Aguilera, Panda Bear, Bikini Kill, Kate Bush, Al Green, Salem, Trent Reznor, Tool.",1,positive
208,"[SUBJECT] Charli XCX [CANDIDATE] Daft Punk [CONTEXT] Charli XCX's influences include Britney Spears, Shampoo, No Doubt, t.A.T.u., the Donnas, Bikini Kill, Martika, Björk, Siouxsie and the Banshees, the Feminine Complex, Donna Summer, Bread, All Saints, Uffie, Brooke Candy, Lil Wayne, Lily Allen, Kate Bush, Twin Peaks, Paris Hilton, Justice, Crystal Castles, Calvin Harris, Daft Punk, Sebastian, Honey Dijon, Robyn, Arca, M.I.A., Autechre, Aphex Twin, and Quentin Tarantino.",1,positive
4,"[SUBJECT] Radiohead [CANDIDATE] Beatles [CONTEXT] Other influences include the soundtracks of Ennio Morricone, 1960s rock groups such as the Beatles and the Beach Boys, and Phil Spector's ""wall of sound"" production.",1,positive
106,"[SUBJECT] Billie Eilish [CANDIDATE] Britney Spears [CONTEXT] Other influences include Adele, Earl Sweatshirt, James Blake, Amy Winehouse, the Spice Girls, Lorde, Marina, Britney Spears, Taylor Swift, Nicki Minaj, XXXTentacion, and Twenty One Pilots.",1,positive
54,"[SUBJECT] Sonic Youth [CANDIDATE] Glenn Branca [CONTEXT] Sonic Youth was heavily influenced by the Velvet Underground, the Stooges, MC5, Glenn Branca, Rhys Chatham, Ornette Coleman, John Coltrane, La Monte Young, Neil Young, Yoko Ono, Brigitte Fontaine, Patti Smith, Wire, and Public Image Ltd.",1,positive
134,[SUBJECT] Grimes [CANDIDATE] Hildegard of Bingen [CONTEXT] The theories of her album Halfaxa were inspired by Hildegard of Bingen.,1,positive
199,"[SUBJECT] Charli XCX [CANDIDATE] Donna Summer [CONTEXT] Charli XCX's influences include Britney Spears, Shampoo, No Doubt, t.A.T.u., the Donnas, Bikini Kill, Martika, Björk, Siouxsie and the Banshees, the Feminine Complex, Donna Summer, Bread, All Saints, Uffie, Brooke Candy, Lil Wayne, Lily Allen, Kate Bush, Twin Peaks, Paris Hilton, Justice, Crystal Castles, Calvin Harris, Daft Punk, Sebastian, Honey Dijon, Robyn, Arca, M.I.A., Autechre, Aphex Twin, and Quentin Tarantino.",1,positive
171,"[SUBJECT] Billie Eilish [CANDIDATE] Arctic Monkeys [CONTEXT] Eilish grew up listening to the Beatles, Justin Bieber, Green Day, the 1975, Arctic Monkeys, Nine Inch Nails, Linkin Park and Lana Del Rey.",1,positive
204,"[SUBJECT] Charli XCX [CANDIDATE] Kate Bush [CONTEXT] Charli XCX's influences include Britney Spears, Shampoo, No Doubt, t.A.T.u., the Donnas, Bikini Kill, Martika, Björk, Siouxsie and the Banshees, the Feminine Complex, Donna Summer, Bread, All Saints, Uffie, Brooke Candy, Lil Wayne, Lily Allen, Kate Bush, Twin Peaks, Paris Hilton, Justice, Crystal Castles, Calvin Harris, Daft Punk, Sebastian, Honey Dijon, Robyn, Arca, M.I.A., Autechre, Aphex Twin, and Quentin Tarantino.",1,positive
50,[SUBJECT] Radiohead [CANDIDATE] Krzysztof Penderecki [CONTEXT] Jonny Greenwood cited the influence of the 20th-century classical composers Krzysztof Penderecki and Olivier Messiaen.,1,positive
81,"[SUBJECT] Joy Division [CANDIDATE] Velvet Underground [CONTEXT] Curtis was inspired by artists such as the Doors, Iggy Pop, David Bowie, Kraftwerk, the Velvet Underground and Neu!.",1,positive
35,[SUBJECT] Björk [CANDIDATE] Kraftwerk [CONTEXT] She has cited Kraftwerk as one of the people who influenced her the most.,1,positive
8,"[SUBJECT] Radiohead [CANDIDATE] Aphex Twin [CONTEXT] In 2013, Yorke named Aphex Twin as his biggest influence.",1,positive
111,"[SUBJECT] Lana Del Rey [CANDIDATE] Andrew Lloyd Webber [CONTEXT] Del Rey cites a wide array of musical artists as influences, including Andrew Lloyd Webber, Frank Sinatra, Nina Simone, Billie Holiday, Bobby Vinton, The Crystals, Brian Wilson, Nancy Sinatra, and Miles Davis.",1,positive
92,"[SUBJECT] Black Sabbath [CANDIDATE] Blue Cheer [CONTEXT] Early on, Black Sabbath were influenced by Cream, the Beatles, Fleetwood Mac, Jimi Hendrix, John Mayall & the Bluesbreakers, Blue Cheer, Golden Earring, Led Zeppelin, Jethro Tull, and Iron Butterfly.",1,positive
84,[SUBJECT] Led Zeppelin [CANDIDATE] Skip James [CONTEXT] The influence of American blues artists such as Muddy Waters and Skip James was particularly apparent on their first two albums.,1,positive
195,"[SUBJECT] Charli XCX [CANDIDATE] the Donnas [CONTEXT] Charli XCX's influences include Britney Spears, Shampoo, No Doubt, t.A.T.u., the Donnas, Bikini Kill, Martika, Björk, Siouxsie and the Banshees, the Feminine Complex, Donna Summer, Bread, All Saints, Uffie, Brooke Candy, Lil Wayne, Lily Allen, Kate Bush, Twin Peaks, Paris Hilton, Justice, Crystal Castles, Calvin Harris, Daft Punk, Sebastian, Honey Dijon, Robyn, Arca, M.I.A., Autechre, Aphex Twin, and Quentin Tarantino.",1,positive
